zip,longitude,latitude,station_count
98607,-122.45066623333332,45.59904516666666,3
98610,-121.821066,45.729538,1
98611,-122.910592,46.275722,1
98612,-123.3841855,46.20283116666667,3
98616,-122.301754,46.051228,1
98620,-120.8230635,45.821523,2
98625,-122.845311463165,46.0039829278164,1
98626,-122.89808233333333,46.14273266666667,3
98631,-124.04646728571429,46.343454914285715,7
98632,-122.93898205999999,46.12399592,5
98642,-122.70566597727272,45.83697168181818,22
98644,-124.0550737,46.3348553,1
98648,-121.9052444,45.6856217,1
98660,-122.67702622222221,45.62936808888889,9
98661,-122.63450575833333,45.636440725,12
98662,-122.57981588578629,45.66333753964715,17
98663,-122.652891,45.639649166666665,6
98664,-122.57352256010999,45.62287838582534,3
98665,-122.659296,45.6900055,2
98671,-122.35035746153845,45.57134830769231,13
98672,-121.48506499999999,45.72812,2
98674,-122.758458,45.92581,1
98682,-122.5799581610448,45.690727083051065,2
98683,-122.50566146000001,45.61519706,5
98684,-122.52270035714285,45.62386178571428,7
98685,-122.6622295,45.722548,2
98686,-122.64883215,45.7215324,2
98801,-120.32448773979624,47.43896281597182,14
98802,-120.26735025,47.3987795,4
98813,-119.672953,48.009356,1
98816,-120.05134609755325,47.83960920572744,4
98822,-120.206922,47.684802,1
98823,-119.553158,47.31711,1
98826,-120.67775277777777,47.645638222222225,9
98831,-120.14798433333333,47.88843033333333,3
98833,-120.406494,48.594482,1
98837,-119.28000834,47.1189805,4
98841,-119.503978,48.421424,1
98844,-119.431184,48.962668,2
98848,-119.89664772034162,47.15203716366966,5
98851,-119.483647,47.39125,1
98855,-119.438406,48.705586,1
98856,-120.121376,48.362102,1
98862,-120.2135268,48.4778128,5
98901,-120.49421117837636,46.60579578996942,15
98902,-120.543474,46.587343,3
98903,-120.49376825,46.557154,4
98908,-120.60173733333333,46.589078,3
98922,-120.945364761373,47.195333665929255,4
98926,-120.502636,46.971937499999996,8
98930,-119.90306,46.2563,1
98937,-121.0340405,46.6780725,2
98942,-120.53995275,46.652534625,8
98944,-120.00475552233499,46.323032647126,2
98948,-120.33262,46.375435,1
98951,-120.42752673333332,46.46406733333333,3
98952,-120.85306,46.339724,1
98953,-120.27072899999999,46.405035999999996,2
99001,-117.56905325607349,47.643335616478794,2
99004,-117.565699782953,47.4972856294039,1
99006,-117.476902,47.943721,1
99016,-117.176698,47.670893,1
99019,-117.10392191818183,47.66996290909091,11
99020,-117.368859,47.659232,1
99021,-117.353857,47.786952,1
99022,-117.681838,47.571612,1
99032,-118.06001830647601,47.26974293167953,3
99037,-117.19013,47.665625,2
99109,-117.7142819,48.241685695,2
99114,-117.90524766666665,48.54304066666666,3
99115,-119.287843,47.616684,1
99116,-118.968139,47.969278,1
99122,-118.150361,47.652922,1
99153,-117.369619,48.862062,1
99156,-117.043496,48.1817654,1
99163,-117.173912,46.7237625,10
99164,-117.1571305,46.73074,2
99169,-118.36553300000001,47.11812633333333,3
99170,-117.370158,47.23432,1
99201,-117.42789917965581,47.657375022410896,21
99202,-117.38232213297415,47.664121136908804,7
99203,-117.401065286262,47.625993076023,1
99204,-117.426683514568,47.6464283735088,1
99205,-117.425921,47.6880975,2
99206,-117.259058,47.6674915,2
99207,-117.39198546399649,47.6864155023184,2
99208,-117.43392,47.721813,3
99212,-117.291683,47.67335475,4
99216,-117.22511193333332,47.669613016666666,12
99217,-117.309637,47.70537866666666,3
99218,-117.4083885,47.746827833333334,6
99223,-117.369543,47.599475,1
99224,-117.53290843463252,47.627883210952376,31
99252,-117.388933,47.673347,1
99258,-117.402327,47.669317,1
99260,-117.429561558108,47.6628381439015,1
99301,-119.14317945454546,46.249469363636365,11
99320,-119.4514867,46.2960713,1
99324,-118.37630596666668,46.03936960000001,3
99326,-118.861158,46.659028,1
99328,-117.98617733333333,46.31698933333333,3
99336,-119.19958913483372,46.21407430930122,7
99337,-119.16738260992115,46.185777964815706,2
99338,-119.237962,46.195603,2
99350,-119.78951,46.219996,1
99352,-119.2607441943807,46.25315378572393,7
99354,-119.2799436124727,46.34039579371601,34
99361,-118.1532507,46.2707488,1
99362,-118.51778751106181,46.14342645895564,20
99403,-117.04866,46.425404,1
G9N 0,-118.284393,46.081031,1
